detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
0,1,170,170,9969153,135,10000000,0.9969153,1.35417723042e-05,0.000775886400158
0,1,180,180,9964538,358,10000000,0.9964538,3.59274057509e-05,0.00205848871838
0,1,189.998454708,190,9954165,523,10000000,0.9954165,5.2540820804e-05,0.00301036728422
0,1,200,200,9952253,813,10000000,0.9952253,8.16900452783e-05,0.00468049482268
0,1,210,210,9944536,595,10000000,0.9944536,5.98318513091e-05,0.00342811256047
0,1,220,220,9952517,380,10000000,0.9952517,3.81812962304e-05,0.00218762713034
0,1,230,230,9963994,266,10000000,0.9963994,2.66961220507e-05,0.00152957512287
0,1,240,240,9970561,296,10000000,0.9970561,2.96873967185e-05,0.0017009625367
0,1,250,250,9972421,89,10000000,0.9972421,8.92461319048e-06,0.000511342669601
0,1,260,260,9971271,580,10000000,0.9971271,5.81671082198e-05,0.00333272980747
0,1,269.997895233,270,9969761,485,10000000,0.9969761,4.86471039393e-05,0.00278727374126
0,1,280,280,9972563,458,10000000,0.9972563,4.59260071536e-05,0.00263136637979
0,1,290,290,9974035,851,10000000,0.9974035,8.53215371647e-05,0.00488856398111
0,1,300,300,9981129,1134,10000000,0.9981129,0.000113614401249,0.00650962568345
0,2,0,0,10000000,0,10000000,1,0,0
0,2,10,10,9999870,0,10000000,0.999987,0,0
0,2,20,20,9989272,-9,10000000,0.9989272,-9.00966556922e-07,-5.16215811941e-05
0,2,30,30,9990343,-4,10000000,0.9990343,-4.00386653391e-07,-2.29404654127e-05
0,2,40,40,9990749,-22,10000000,0.9990749,-2.20203710452e-06,-0.00012616743242
0,2,50,50,9990875,70,10000000,0.9990875,7.0063933338e-06,0.000401436767635
0,2,60,60,9991230,58,10000000,0.999123,5.8050910648e-06,0.000332607217702
0,2,70,70,9990469,81,10000000,0.9990469,8.10772747488e-06,0.000464538565753
0,2,80,80,9990586,80,10000000,0.9990586,8.00753829638e-06,0.000458798148672
0,2,90,90,9988272,189,10000000,0.9988272,1.89221919445e-05,0.00108416173755
0,2,100,100,9984154,286,10000000,0.9984154,2.86453914795e-05,0.00164126003428
0,2,110,110,9985116,305,10000000,0.9985116,3.05454638589e-05,0.00175012616239
0,2,120,120,9985947,274,10000000,0.9985947,2.74385594006e-05,0.00157211364958
